|       Tasks        |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
| - belebele_pol_Latn|    0.0|none  |     0|acc     |↑  |0.2389|±  |0.0142|
|                    |       |none  |     0|acc_norm|↑  |0.2389|±  |0.0142|
| - belebele_por_Latn|    0.0|none  |     0|acc     |↑  |0.2344|±  |0.0141|
|                    |       |none  |     0|acc_norm|↑  |0.2344|±  |0.0141|
| - belebele_ron_Latn|    0.0|none  |     0|acc     |↑  |0.2411|±  |0.0143|
|                    |       |none  |     0|acc_norm|↑  |0.2411|±  |0.0143|
| - belebele_rus_Cyrl|    0.0|none  |     0|acc     |↑  |0.2744|±  |0.0149|
|                    |       |none  |     0|acc_norm|↑  |0.2744|±  |0.0149|
| - belebele_shn_Mymr|    0.0|none  |     0|acc     |↑  |0.2322|±  |0.0141|
|                    |       |none  |     0|acc_norm|↑  |0.2322|±  |0.0141|
| - belebele_sin_Latn|    0.0|none  |     0|acc     |↑  |0.2344|±  |0.0141|
|                    |       |none  |     0|acc_norm|↑  |0.2344|±  |0.0141|
| - belebele_sin_Sinh|    0.0|none  |     0|acc     |↑  |0.2400|±  |0.0142|
|                    |       |none  |     0|acc_norm|↑  |0.2400|±  |0.0142|
| - belebele_slk_Latn|    0.0|none  |     0|acc     |↑  |0.2211|±  |0.0138|
|                    |       |none  |     0|acc_norm|↑  |0.2211|±  |0.0138|
| - belebele_slv_Latn|    0.0|none  |     0|acc     |↑  |0.2578|±  |0.0146|
|                    |       |none  |     0|acc_norm|↑  |0.2578|±  |0.0146|
| - belebele_sna_Latn|    0.0|none  |     0|acc     |↑  |0.2411|±  |0.0143|
|                    |       |none  |     0|acc_norm|↑  |0.2411|±  |0.0143|
| - belebele_snd_Arab|    0.0|none  |     0|acc     |↑  |0.2178|±  |0.0138|
|                    |       |none  |     0|acc_norm|↑  |0.2178|±  |0.0138|
| - belebele_som_Latn|    0.0|none  |     0|acc     |↑  |0.2333|±  |0.0141|
|                    |       |none  |     0|acc_norm|↑  |0.2333|±  |0.0141|
| - belebele_sot_Latn|    0.0|none  |     0|acc     |↑  |0.2344|±  |0.0141|
|                    |       |none  |     0|acc_norm|↑  |0.2344|±  |0.0141|
| - belebele_spa_Latn|    0.0|none  |     0|acc     |↑  |0.2233|±  |0.0139|
|                    |       |none  |     0|acc_norm|↑  |0.2233|±  |0.0139|
| - belebele_srp_Cyrl|    0.0|none  |     0|acc     |↑  |0.2556|±  |0.0145|
|                    |       |none  |     0|acc_norm|↑  |0.2556|±  |0.0145|
| - belebele_ssw_Latn|    0.0|none  |     0|acc     |↑  |0.2489|±  |0.0144|
|                    |       |none  |     0|acc_norm|↑  |0.2489|±  |0.0144|
| - belebele_sun_Latn|    0.0|none  |     0|acc     |↑  |0.2378|±  |0.0142|
|                    |       |none  |     0|acc_norm|↑  |0.2378|±  |0.0142|
| - belebele_swe_Latn|    0.0|none  |     0|acc     |↑  |0.2500|±  |0.0144|
|                    |       |none  |     0|acc_norm|↑  |0.2500|±  |0.0144|
| - belebele_swh_Latn|    0.0|none  |     0|acc     |↑  |0.2822|±  |0.0150|
|                    |       |none  |     0|acc_norm|↑  |0.2822|±  |0.0150|
| - belebele_tam_Taml|    0.0|none  |     0|acc     |↑  |0.2700|±  |0.0148|
|                    |       |none  |     0|acc_norm|↑  |0.2700|±  |0.0148|
| - belebele_tel_Telu|    0.0|none  |     0|acc     |↑  |0.2456|±  |0.0144|
|                    |       |none  |     0|acc_norm|↑  |0.2456|±  |0.0144|
| - belebele_tgk_Cyrl|    0.0|none  |     0|acc     |↑  |0.2333|±  |0.0141|
|                    |       |none  |     0|acc_norm|↑  |0.2333|±  |0.0141|
| - belebele_tgl_Latn|    0.0|none  |     0|acc     |↑  |0.2356|±  |0.0142|
|                    |       |none  |     0|acc_norm|↑  |0.2356|±  |0.0142|
| - belebele_tha_Thai|    0.0|none  |     0|acc     |↑  |0.2344|±  |0.0141|
|                    |       |none  |     0|acc_norm|↑  |0.2344|±  |0.0141|
| - belebele_tir_Ethi|    0.0|none  |     0|acc     |↑  |0.2356|±  |0.0142|
|                    |       |none  |     0|acc_norm|↑  |0.2356|±  |0.0142|
| - belebele_tsn_Latn|    0.0|none  |     0|acc     |↑  |0.2367|±  |0.0142|
|                    |       |none  |     0|acc_norm|↑  |0.2367|±  |0.0142|
| - belebele_tso_Latn|    0.0|none  |     0|acc     |↑  |0.2356|±  |0.0142|
|                    |       |none  |     0|acc_norm|↑  |0.2356|±  |0.0142|
| - belebele_tur_Latn|    0.0|none  |     0|acc     |↑  |0.2456|±  |0.0144|
|                    |       |none  |     0|acc_norm|↑  |0.2456|±  |0.0144|
| - belebele_ukr_Cyrl|    0.0|none  |     0|acc     |↑  |0.2489|±  |0.0144|
|                    |       |none  |     0|acc_norm|↑  |0.2489|±  |0.0144|
| - belebele_urd_Arab|    0.0|none  |     0|acc     |↑  |0.2211|±  |0.0138|
|                    |       |none  |     0|acc_norm|↑  |0.2211|±  |0.0138|
| - belebele_urd_Latn|    0.0|none  |     0|acc     |↑  |0.2389|±  |0.0142|
|                    |       |none  |     0|acc_norm|↑  |0.2389|±  |0.0142|
| - belebele_uzn_Latn|    0.0|none  |     0|acc     |↑  |0.2444|±  |0.0143|
|                    |       |none  |     0|acc_norm|↑  |0.2444|±  |0.0143|
| - belebele_vie_Latn|    0.0|none  |     0|acc     |↑  |0.2767|±  |0.0149|
|                    |       |none  |     0|acc_norm|↑  |0.2767|±  |0.0149|
| - belebele_war_Latn|    0.0|none  |     0|acc     |↑  |0.2333|±  |0.0141|
|                    |       |none  |     0|acc_norm|↑  |0.2333|±  |0.0141|
| - belebele_wol_Latn|    0.0|none  |     0|acc     |↑  |0.2344|±  |0.0141|
|                    |       |none  |     0|acc_norm|↑  |0.2344|±  |0.0141|
| - belebele_xho_Latn|    0.0|none  |     0|acc     |↑  |0.2411|±  |0.0143|
|                    |       |none  |     0|acc_norm|↑  |0.2411|±  |0.0143|
| - belebele_yor_Latn|    0.0|none  |     0|acc     |↑  |0.2311|±  |0.0141|
|                    |       |none  |     0|acc_norm|↑  |0.2311|±  |0.0141|
| - belebele_zho_Hans|    0.0|none  |     0|acc     |↑  |0.2556|±  |0.0145|
|                    |       |none  |     0|acc_norm|↑  |0.2556|±  |0.0145|
| - belebele_zho_Hant|    0.0|none  |     0|acc     |↑  |0.2411|±  |0.0143|
|                    |       |none  |     0|acc_norm|↑  |0.2411|±  |0.0143|
| - belebele_zsm_Latn|    0.0|none  |     0|acc     |↑  |0.2533|±  |0.0145|
|                    |       |none  |     0|acc_norm|↑  |0.2533|±  |0.0145|
| - belebele_zul_Latn|    0.0|none  |     0|acc     |↑  |0.2356|±  |0.0142|
|                    |       |none  |     0|acc_norm|↑  |0.2356|±  |0.0142|

| Groups |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|--------|------:|------|------|--------|---|-----:|---|-----:|
|belebele|    0.1|none  |      |acc     |↑  |0.2397|±  |0.0013|
|        |       |none  |      |acc_norm|↑  |0.2397|±  |0.0013|
