model,checkpoint,eng_acc,nld_acc,spa_acc,fra_acc,rus_acc,ita_acc,por_acc,tur_acc,ara_acc,deu_acc,eng_se,nld_se,spa_se,fra_se,rus_se,ita_se,por_se,tur_se,ara_se,deu_se,source_path
HPLT/hplt2c_ara_checkpoints,checkpoint_0002000,0.7038961038961039,0.5903045903045903,0.69185360094451,0.6840659340659341,0.5495824634655533,0.5481827275758586,0.6315616797900262,0.6785304247990815,0.9185185185185184,0.6810269799825935,0.0164524651299412,0.0101858550690523,0.0091597436374812,0.0092097427235893,0.0080373212717052,0.0090877392085394,0.0087374117249816,0.011190011317429,0.0078484749721541,0.0097226381261252,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0002000/all.csv
HPLT/hplt2c_ara_checkpoints,checkpoint_0003000,0.7116883116883117,0.6190476190476191,0.6702085792994884,0.6970172684458399,0.5506263048016702,0.5638546182060686,0.6118766404199475,0.669345579793341,0.9407407407407408,0.6705831157528286,0.0163241538311979,0.010058338292053,0.0093265781943734,0.0091039737199629,0.0080356229526718,0.0090554696043056,0.0088269231680289,0.0112716706603071,0.006773684219264,0.0098044722708585,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0003000/all.csv
HPLT/hplt2c_ara_checkpoints,checkpoint_0004000,0.7402597402597403,0.5855855855855856,0.68280204643841,0.7091836734693877,0.5545407098121086,0.5735245081693898,0.6332020997375328,0.6509758897818599,0.945679012345679,0.6879895561357703,0.0158021557468331,0.0102033193247282,0.0092323075385515,0.0089968202728039,0.0080289356495887,0.0090309782649661,0.0087292536319908,0.0114205255806221,0.0065023084191256,0.0096649692422818,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0004000/all.csv
HPLT/hplt2c_ara_checkpoints,checkpoint_0005000,0.7597402597402597,0.5169455169455169,0.7197953561589925,0.728021978021978,0.5336638830897703,0.56918972990997,0.6138451443569554,0.6383467278989667,0.9481481481481482,0.7101827676240209,0.0153967021882222,0.0103502135023055,0.0089092234598086,0.0088153475400765,0.0080588056420045,0.0090423917581521,0.0088186616711415,0.0115119910249772,0.0063610981601928,0.009463943857118,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0005000/all.csv
HPLT/hplt2c_ara_checkpoints,checkpoint_0006000,0.7610389610389611,0.6353496353496354,0.6938213301849665,0.7276295133437991,0.5495824634655533,0.5878626208736245,0.6240157480314961,0.6733639494833524,0.9547325102880658,0.6975630983463882,0.0153681514498856,0.0099695046860625,0.0091434260564256,0.0088193273881193,0.0080373212717052,0.0089881578912755,0.0087735452660537,0.0112365480493932,0.0059641138125995,0.0095815137449575,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0006000/all.csv
HPLT/hplt2c_ara_checkpoints,checkpoint_0007000,0.7727272727272727,0.5787215787215787,0.7225501770956316,0.7429356357927787,0.5467118997912317,0.5541847282427476,0.6122047244094488,0.6745120551090701,0.9522633744855968,0.6936466492602262,0.0151022418010224,0.0102270012362985,0.0088822685435874,0.008657586143176,0.0080418074862302,0.0090764603482068,0.0088255567924588,0.0112263411801237,0.0061166870251554,0.0096162434929952,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0007000/all.csv
HPLT/hplt2c_ara_checkpoints,checkpoint_0008000,0.787012987012987,0.6229086229086229,0.7052341597796143,0.7554945054945055,0.5480167014613778,0.5538512837612537,0.6210629921259843,0.6515499425947188,0.9604938271604938,0.7114882506527415,0.0147544202175379,0.0100383962652063,0.0090448821777091,0.0085145216627393,0.0080398017647634,0.0090771220362279,0.0087870653257992,0.0114161600897046,0.0055884533478094,0.0094512794901892,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0008000/all.csv
HPLT/hplt2c_ara_checkpoints,checkpoint_0009000,0.8077922077922078,0.6332046332046332,0.7001180637544274,0.7660910518053375,0.5425365344467641,0.577192397465822,0.635498687664042,0.6756601607347876,0.9522633744855968,0.6927763272410792,0.0142000529001391,0.0099818910613354,0.0090898865346808,0.0083861746169102,0.0080478514624789,0.0090207669298768,0.0087176493384002,0.0112160575581314,0.0061166870251554,0.009623850007717,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0009000/all.csv
HPLT/hplt2c_ara_checkpoints,checkpoint_0010000,0.7792207792207793,0.6426426426426426,0.706021251475797,0.7240973312401884,0.5485386221294363,0.563187729243081,0.6309055118110236,0.677382319173364,0.965432098765432,0.7027850304612707,0.0149473429186065,0.009925788046283,0.009037837379722,0.0088547583224717,0.0080389838614386,0.0090570293263174,0.0087406445482355,0.0112004877508983,0.0052409405619912,0.0095339216518188,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0010000/all.csv
HPLT/hplt2c_ara_checkpoints,checkpoint_0011000,0.8285714285714286,0.6357786357786358,0.7131050767414404,0.7912087912087912,0.5315762004175365,0.5481827275758586,0.634514435695538,0.661308840413318,0.9679012345679012,0.7328111401218451,0.0135819215368024,0.0099670017993114,0.0089729627171885,0.008051966225417,0.0080610105649078,0.0090877392085394,0.0087226487891835,0.0113391374403027,0.0050567507492243,0.00923060554782,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0011000/all.csv
HPLT/hplt2c_ara_checkpoints,checkpoint_0012000,0.7909090909090909,0.6087516087516087,0.7253049980322708,0.7904238618524333,0.5587160751565762,0.5538512837612537,0.6256561679790026,0.6762342135476463,0.9547325102880658,0.7306353350739774,0.0146549889925584,0.0101082321280308,0.008854894298347,0.0080630847777345,0.0080212469439649,0.0090771220362279,0.008765884109924,0.0112108868989217,0.0059641138125995,0.0092543439383838,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0012000/all.csv
HPLT/hplt2c_ara_checkpoints,checkpoint_0013000,0.8077922077922078,0.6216216216216216,0.7091696182605274,0.782574568288854,0.5469728601252609,0.5821940646882294,0.6420603674540682,0.6911595866819747,0.959670781893004,0.721496953872933,0.0142000529001391,0.0100451187459149,0.0090093324913058,0.008171811193214,0.0080414108019496,0.0090060210256757,0.0086833107641257,0.0110696057950002,0.005643946629686,0.0093509818398169,multiblimp/results/HPLT/hplt2c_ara_checkpoints/checkpoint_0013000/all.csv
