model,ckpt,flores200_eng,flores200_nld,flores200_spa,flores200_fra,flores200_rus,flores200_ita,flores200_tur,flores200_arb,flores200_deu,flores200_zho,xcsqa_eng,xcsqa_nld,xcsqa_spa,xcsqa_fra,xcsqa_rus,xcsqa_ita,xcsqa_tur,xcsqa_arb,xcsqa_deu,xcsqa_zho,hellaswag_eng,hellaswag_nld,hellaswag_spa,hellaswag_fra,hellaswag_rus,hellaswag_ita,hellaswag_tur,hellaswag_arb,hellaswag_deu,hellaswag_zho,belebele_eng,belebele_nld,belebele_spa,belebele_fra,belebele_rus,belebele_ita,belebele_tur,belebele_arb,belebele_deu,belebele_zho,multiblimp_eng,multiblimp_nld,multiblimp_spa,multiblimp_fra,multiblimp_rus,multiblimp_ita,multiblimp_tur,multiblimp_arb,multiblimp_deu,multiblimp_zho
mixed-10-checkpoints,16000,27.062,54.0996,30.1311,27.5682,26.6564,29.4376,31.2852,,39.8354,,0.375,0.31,0.31,0.31,0.2708,0.3095,,,0.335,,0.39,0.338,0.371,0.35,0.345,0.352,0.345,,0.343,,0.34,0.3467,0.3478,0.3467,0.3233,0.3211,0.31,,0.3389,,0.9727,0.9803,0.9736,0.9851,0.9642,0.9693,0.9311,0.9424,0.9856,
mixed-10-checkpoints,17000,24.7931,27.8263,24.926,21.9643,29.0065,20.0391,23.0421,,27.0388,,0.379,0.33,0.315,0.319,0.286,0.3327,,,0.336,,0.387,0.336,0.368,0.354,0.34,0.341,0.351,,0.359,,0.3489,0.3522,0.3567,0.3544,0.3444,0.3111,0.3122,,0.3456,,0.9779,0.9816,0.9709,0.9851,0.9726,0.9657,0.9397,0.9465,0.9861,
mixed-10-checkpoints,18000,50.7265,44.9318,33.2845,42.8754,26.8486,27.6969,28.4793,,39.9897,,0.383,0.323,0.316,0.324,0.2799,0.3337,,,0.335,,0.397,0.347,0.38,0.368,0.35,0.343,0.349,,0.351,,0.3556,0.36,0.3522,0.3667,0.3378,0.3311,0.3089,,0.3389,,0.9714,0.9755,0.9736,0.9867,0.9679,0.9697,0.9374,0.9481,0.9835,
mixed-10-checkpoints,19000,28.1208,38.4994,30.2859,28.7115,16.5387,28.226,23.511,,38.1803,,0.379,0.319,0.319,0.322,0.2769,0.3276,,,0.333,,0.404,0.338,0.381,0.37,0.349,0.354,0.351,,0.339,,0.3611,0.3544,0.3611,0.3678,0.3367,0.3267,0.3144,,0.3344,,0.9688,0.9764,0.974,0.9855,0.9716,0.9647,0.9432,0.9358,0.9843,
mixed-10-checkpoints,20000,46.9469,42.477,29.5233,30.5767,31.4949,24.3344,26.3471,,29.8596,,0.384,0.323,0.323,0.317,0.284,0.3317,,,0.3189,,0.41,0.343,0.381,0.36,0.346,0.339,0.341,,0.338,,0.3433,0.3578,0.3533,0.3722,0.3467,0.3322,0.3078,,0.3456,,0.9701,0.9803,0.9717,0.9859,0.9697,0.964,0.9501,0.9432,0.9822,
mixed-10-checkpoints,21000,39.8611,43.9205,31.0468,36.2124,27.5401,34.1106,32.3998,,33.7867,,0.401,0.327,0.322,0.319,0.2901,0.3558,,,0.3441,,0.406,0.359,0.395,0.381,0.352,0.355,0.36,,0.348,,0.3633,0.3544,0.36,0.3633,0.3378,0.3322,0.3111,,0.3578,,0.9675,0.9773,0.9725,0.9827,0.9687,0.9717,0.9455,0.9514,0.9869,
mixed-10-checkpoints,22000,42.5381,27.8118,33.8408,45.1197,34.8543,29.1376,36.6402,,34.7799,,0.399,0.317,0.312,0.308,0.2911,0.3367,,,0.331,,0.408,0.354,0.394,0.356,0.353,0.364,0.363,,0.351,,0.3578,0.3589,0.3778,0.3756,0.3522,0.3422,0.3244,,0.3711,,0.9701,0.9816,0.9728,0.9863,0.97,0.9707,0.9351,0.949,0.9843,
mixed-10-checkpoints,23000,30.9706,30.0697,33.2888,30.6618,25.1596,28.2683,41.307,,27.0969,,0.404,0.336,0.312,0.34,0.3093,0.3397,,,0.3531,,0.415,0.342,0.386,0.37,0.352,0.349,0.368,,0.353,,0.36,0.3433,0.3467,0.3711,0.3433,0.33,0.3133,,0.3656,,0.9779,0.9794,0.9752,0.987,0.9703,0.9677,0.9524,0.9498,0.9865,
mixed-10-checkpoints,24000,28.9884,29.4586,31.7429,24.7999,25.8105,27.1938,27.4536,,33.0651,,0.4,0.328,0.337,0.333,0.286,0.3437,,,0.3581,,0.419,0.353,0.392,0.392,0.357,0.361,0.367,,0.365,,0.3544,0.3511,0.3578,0.3656,0.3378,0.3356,0.3222,,0.3656,,0.9675,0.9824,0.974,0.987,0.9729,0.972,0.9455,0.949,0.9843,
mixed-10-checkpoints,25000,28.6374,29.2159,29.1842,25.4556,11.6236,26.4098,42.036,,31.6123,,0.392,0.335,0.331,0.325,0.3053,0.3317,,,0.339,,0.423,0.353,0.389,0.382,0.362,0.359,0.374,,0.363,,0.3422,0.3644,0.3489,0.3611,0.3411,0.3356,0.3222,,0.37,,0.9688,0.9824,0.974,0.9898,0.97,0.9707,0.946,0.944,0.983,
mixed-10-checkpoints,26000,23.7269,29.7532,40.7749,32.517,34.653,34.429,24.7449,,33.4556,,0.394,0.34,0.333,0.329,0.2921,0.3337,,,0.3511,,0.41,0.364,0.392,0.381,0.354,0.36,0.363,,0.356,,0.3578,0.3711,0.3744,0.3744,0.3367,0.3344,0.3211,,0.3667,,0.9714,0.976,0.9721,0.9878,0.9718,0.97,0.942,0.9432,0.9839,
mixed-10-checkpoints,27000,50.4301,42.0523,49.1816,50.1249,28.2599,31.3563,35.212,,37.2683,,0.402,0.326,0.331,0.329,0.2941,0.3598,,,0.3421,,0.427,0.356,0.38,0.381,0.365,0.366,0.365,,0.369,,0.3478,0.3744,0.3811,0.3689,0.3478,0.3422,0.3367,,0.3544,,0.974,0.9807,0.9752,0.9863,0.9729,0.972,0.9443,0.9547,0.9865,
mixed-10-checkpoints,28000,51.3512,37.1874,29.0107,29.1287,27.5054,32.4203,50.167,,33.3302,,0.41,0.326,0.33,0.332,0.2759,0.3387,,,0.341,,0.436,0.36,0.397,0.389,0.355,0.355,0.362,,0.363,,0.3544,0.3467,0.37,0.3611,0.3456,0.3222,0.3156,,0.3622,,0.9649,0.9837,0.974,0.9851,0.9721,0.967,0.946,0.9506,0.9865,
mixed-10-checkpoints,29000,40.7003,47.7073,29.3459,47.6046,24.7577,31.5254,38.3137,,35.5293,,0.413,0.31,0.33,0.306,0.2911,0.3387,,,0.34,,0.435,0.367,0.407,0.396,0.361,0.382,0.371,,0.37,,0.35,0.3589,0.3744,0.3778,0.3378,0.3322,0.3333,,0.3733,,0.9636,0.9785,0.9721,0.9859,0.9726,0.9717,0.9518,0.9457,0.99,
mixed-10-checkpoints,30000,47.4011,41.4067,37.9977,42.813,22.6965,36.6504,32.094,,34.2101,,0.42,0.323,0.342,0.328,0.3012,0.3467,,,0.3571,,0.437,0.371,0.397,0.396,0.372,0.388,0.375,,0.367,,0.3522,0.3522,0.36,0.3678,0.3511,0.3633,0.3333,,0.38,,0.9662,0.985,0.9736,0.9831,0.9747,0.9737,0.942,0.9424,0.9913,
mixed-10-checkpoints,31000,47.4011,37.6664,27.6207,31.5465,37.8173,30.6418,24.1386,,32.2631,,0.408,0.339,0.336,0.316,0.2951,0.3628,,,0.3451,,0.427,0.364,0.403,0.381,0.351,0.377,0.379,,0.372,,0.36,0.3622,0.3589,0.3789,0.3522,0.3456,0.3311,,0.3667,,0.9714,0.9755,0.9764,0.9882,0.9723,0.972,0.9495,0.9514,0.9852,
mixed-10-checkpoints,32000,47.9347,43.1437,39.9608,33.6058,35.9825,35.4968,31.2274,,32.5575,,0.403,0.341,0.329,0.305,0.283,0.3508,,,0.333,,0.439,0.373,0.403,0.401,0.362,0.375,0.374,,0.368,,0.35,0.3544,0.3644,0.3733,0.3444,0.3311,0.3178,,0.3533,,0.9688,0.9807,0.976,0.991,0.9752,0.9757,0.9552,0.9514,0.9869,
