,metadata__wiki_size,metadata__nlp_state,metadata__speakers,metadata__AES,metadata__loc,metadata__average,typology__lang2vec_knn,typology__phoible,typology__glot_tree,typology__scripts,typology__average,wordlists__asjp,wordlists__concepts,wordlists__average,textbased__whitespace,textbased__punctuation,textbased__char_JSD,textbased__textcat,textbased__average,model_sim__cosine_sim,model_sim__l2_norm,model_sim__mean_cka_inlang,model_sim__mean_cka_eng,model_sim__mean_rank_diff
typology__average,0.13227931488801054,-0.17492032549430417,-0.005138339920948616,,0.7202898550724638,0.19183135704874835,0.6978061811045463,0.8121088363364559,0.7708828398590694,0.34862331738963764,1.0,0.7216073781291172,0.3675739404024305,0.583399209486166,0.16824769433465087,0.336231884057971,0.49433465085639,0.47017358963548084,0.47017358963548084,-0.04361001317523057,0.25915678524374175,-0.7212121212121212,-0.355467720685112,0.572463768115942
wordlists__asjp,0.3752305665349144,-0.16463089458287453,-0.060210803689064556,,0.6627140974967062,0.08181818181818182,0.6835101141389414,0.51287963745269,0.849852372679373,0.2558479091375695,0.7216073781291172,1.0,0.5353057276397849,0.7964426877470355,0.37127799736495387,0.28774703557312253,0.40421607378129115,0.390526697402148,0.390526697402148,-0.09288537549407115,0.4015810276679842,-0.4645586297760211,-0.2603425559947299,0.619631093544137
wordlists__concepts,0.20536008354188967,0.05538089614162597,-0.14672376315213678,,0.5424192041496528,0.06348943987779367,0.5932165956218314,0.22066527104162045,0.5161026172417584,0.18690246910961936,0.3675739404024305,0.5353057276397849,1.0,0.9062037224860789,0.3925708298202844,0.5353057276397849,0.5307850135961305,0.6070588182174189,0.6070588182174189,0.0656833158107436,0.19724939069886263,-0.3726265031571031,-0.43139578572461057,0.3444385214731403
wordlists__average,0.2957839262187088,-0.05830677516476806,-0.13873517786561265,,0.6587615283267457,0.06416337285902503,0.7346992571448169,0.3805257271582193,0.745131905243753,0.1974880586494363,0.583399209486166,0.7964426877470355,0.9062037224860789,1.0,0.4525691699604743,0.518840579710145,0.5175230566534914,0.5809150502179725,0.5809150502179725,0.051910408432147566,0.2007905138339921,-0.4753623188405797,-0.41594202898550725,0.46126482213438735
textbased__whitespace,0.7093544137022398,-0.04115772364571863,0.04479578392621871,,0.2573122529644269,0.09802371541501977,0.45292838888725034,-0.08472231390676421,0.4809702343149654,-0.06938958299665594,0.16824769433465087,0.37127799736495387,0.3925708298202844,0.4525691699604743,1.0,0.15744400527009222,-0.08722002635046114,-0.0417009783157152,-0.0417009783157152,-0.19960474308300397,0.1533596837944664,0.008036890645586298,-0.028853754940711462,0.3600790513833992
textbased__punctuation,-0.11409749670619236,-0.020578861822859316,0.04782608695652174,,0.5013175230566534,0.23899868247694334,0.40299097524702693,0.3107582851463505,0.2900556662919668,0.05752214928495423,0.336231884057971,0.28774703557312253,0.5353057276397849,0.518840579710145,0.15744400527009222,1.0,0.3194993412384717,0.4297242994524648,0.4297242994524648,0.2227931488801054,-0.1404479578392622,-0.5084321475625824,-0.33768115942028987,-0.005797101449275362
textbased__char_JSD,-0.11686429512516469,0.003429810303809886,-0.17681159420289855,,0.6675889328063241,0.07259552042160738,0.3747941242733916,0.6567626340097452,0.3997832599027873,0.8270205128384135,0.49433465085639,0.40421607378129115,0.5307850135961305,0.5175230566534914,-0.08722002635046114,0.3194993412384717,1.0,0.9406765708848298,0.9406765708848298,-0.25072463768115943,0.3753623188405797,-0.686429512516469,-0.7931488801054019,0.45296442687747035
textbased__textcat,-0.1363681281414383,-0.022294501324846797,-0.1544846669041898,,0.7413946444945637,0.10006917229316174,0.3589287480947325,0.631748855631496,0.34782790021224547,0.7370617197253616,0.47017358963548084,0.390526697402148,0.6070588182174189,0.5809150502179725,-0.0417009783157152,0.4297242994524648,0.9406765708848298,1.0,1.0,-0.248031885242761,0.2527751244824632,-0.7384301199697498,-0.8560229261207003,0.3961922331606812
textbased__average,-0.1363681281414383,-0.022294501324846797,-0.1544846669041898,,0.7413946444945637,0.10006917229316174,0.3589287480947325,0.631748855631496,0.34782790021224547,0.7370617197253616,0.47017358963548084,0.390526697402148,0.6070588182174189,0.5809150502179725,-0.0417009783157152,0.4297242994524648,0.9406765708848298,1.0,1.0,-0.248031885242761,0.2527751244824632,-0.7384301199697498,-0.8560229261207003,0.3961922331606812
model_sim__cosine_sim,-0.3469038208168643,0.21264823883621292,0.13860342555994729,,-0.18208168642951253,0.14598155467720686,0.13261743226618689,-0.13485736902577475,0.0690983412177657,-0.544994441101502,-0.04361001317523057,-0.09288537549407115,0.0656833158107436,0.051910408432147566,-0.19960474308300397,0.2227931488801054,-0.25072463768115943,-0.248031885242761,-0.248031885242761,1.0,-0.5349143610013175,0.07812911725955204,0.45586297760210803,-0.40619235836627143
model_sim__l2_norm,0.45770750988142295,-0.10632411941810646,-0.1932806324110672,,0.20303030303030303,-0.15349143610013175,0.1662823641529338,0.18505830463771436,0.3271799303623813,0.4667391870378689,0.25915678524374175,0.4015810276679842,0.19724939069886263,0.2007905138339921,0.1533596837944664,-0.1404479578392622,0.3753623188405797,0.2527751244824632,0.2527751244824632,-0.5349143610013175,1.0,-0.07246376811594203,-0.16653491436100132,0.535836627140975
model_sim__mean_cka_inlang,0.21159420289855072,0.10975392972191635,-0.15718050065876152,,-0.8744400527009223,-0.3974967061923584,-0.5337637537112003,-0.8083536482394998,-0.4897684703085318,-0.6011902301480896,-0.7212121212121212,-0.4645586297760211,-0.3726265031571031,-0.4753623188405797,0.008036890645586298,-0.5084321475625824,-0.686429512516469,-0.7384301199697498,-0.7384301199697498,0.07812911725955204,-0.07246376811594203,1.0,0.7313570487483531,-0.3744400527009223
model_sim__mean_cka_eng,0.08511198945981555,-0.003429810303809886,-0.04044795783926219,,-0.6980237154150197,-0.2565217391304348,-0.2739969700919381,-0.5748731812989304,-0.20958399561910301,-0.8001442659030891,-0.355467720685112,-0.2603425559947299,-0.43139578572461057,-0.41594202898550725,-0.028853754940711462,-0.33768115942028987,-0.7931488801054019,-0.8560229261207003,-0.8560229261207003,0.45586297760210803,-0.16653491436100132,0.7313570487483531,1.0,-0.3945981554677207
model_sim__mean_rank_diff,0.49894598155467723,0.05830677516476806,-0.040974967061923585,,0.5876152832674572,0.138866930171278,0.5170959890001495,0.4860662768305648,0.6482797789405906,0.5284498423387178,0.572463768115942,0.619631093544137,0.3444385214731403,0.46126482213438735,0.3600790513833992,-0.005797101449275362,0.45296442687747035,0.3961922331606812,0.3961922331606812,-0.40619235836627143,0.535836627140975,-0.3744400527009223,-0.3945981554677207,1.0
